order_id,product_id,quantity,unit_price,line_total,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,customer_name,customer_segment,area,pincode,year,month,month_name,day_of_week,quarter,is_weekend,month_str
1961864118,642612,3,517.03,1551.09,30065862,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,On Time,3197.07,Cash,63230,4771,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,16,57,Urishilla Hegde,Regular,Allahabad,911359,2024,7,Jul,2,3,0,2024-07
1549769649,378676,1,881.42,881.42,9573071,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,On Time,976.55,Cash,14983,7534,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,19,65,Ranveer Mahal,New,Thrissur,856100,2024,5,May,1,2,0,2024-05
9185164487,741341,2,923.84,1847.68,45477575,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,On Time,839.05,UPI,39859,9886,Eggs,Dairy & Breakfast,Prasad LLC,923.84,1154.8,20.0,7,13,62,Aarna Bawa,Inactive,Vellore,117423,2024,9,Sep,0,3,0,2024-09
9644738826,561860,1,874.78,874.78,88067569,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,On Time,440.23,Card,61497,7917,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90,Aayush Sengupta,Premium,Gaya,288459,2023,11,Nov,4,4,0,2023-11
5427684290,602241,2,976.55,1953.1,83298567,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,On Time,2526.68,Cash,84315,2741,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75,Vansha Kuruvilla,Premium,Asansol,149383,2023,11,Nov,0,4,0,2023-11
3265154092,681063,1,321.28,321.28,43367112,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,On Time,3161.43,UPI,554,3442,Mango Drink,Cold Drinks & Juices,Dass and Sons,321.28,458.97,30.0,180,20,91,Chasmum Ramesh,New,Gopalpur,276624,2023,3,Mar,5,1,1,2023-03
4898355547,56589,3,517.77,1553.31,13284996,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,On Time,956.4,Card,14630,1318,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77,647.21,20.0,365,16,85,Irya Dayal,Regular,Phagwara,363237,2023,4,Apr,6,2,1,2023-04
6568151549,500739,2,359.98,719.96,88866835,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,On Time,905.47,Cash,67714,115,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81,Osha Dora,Premium,South Dumdum,65460,2024,3,Mar,6,1,1,2024-03
6006693867,490939,1,80.25,80.25,24496983,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,On Time,1371.17,Card,91362,9021,Lotion,Personal Care,"Roy, Barad and De",80.25,123.46,35.0,365,12,67,Vasana Sen,Regular,Kamarhati,185526,2023,7,Jul,3,3,0,2023-07
374186990,760828,2,563.45,1126.9,52215833,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,Slightly Delayed,1601.19,Wallet,77203,7955,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",563.45,866.85,35.0,365,23,93,Lipika Parmer,Regular,Sirsa,414814,2023,8,Aug,2,3,0,2023-08
